,0,bill_number,display_name,first_name,id,last_name,party,state
11176,,191,Allen (R-VA),George,S274,Allen,R,VA
11177,,191,Baucus (D-MT),Max,S127,Baucus,D,MT
11178,,191,Bayh (D-IN),Evan,S264,Bayh,D,IN
11179,,191,Biden (D-DE),Joseph,S010,Biden,D,DE
11180,,191,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
11181,,191,Bond (R-MO),Christopher,S200,Bond,R,MO
11182,,191,Boxer (D-CA),Barbara,S223,Boxer,D,CA
11183,,191,Breaux (D-LA),John,S179,Breaux,D,LA
11184,,191,Brownback (R-KS),Sam,S249,Brownback,R,KS
11185,,191,Bunning (R-KY),Jim,S265,Bunning,R,KY
11186,,191,Burns (R-MT),Conrad,S211,Burns,R,MT
11187,,191,Byrd (D-WV),Robert,S017,Byrd,D,WV
11188,,191,Campbell (R-CO),Ben,S225,Campbell,R,CO
11189,,191,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
11190,,191,Carnahan (D-MO),Jean,S276,Carnahan,D,MO
11191,,191,Carper (D-DE),Thomas,S277,Carper,D,DE
11192,,191,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
11193,,191,Cleland (D-GA),Max,S251,Cleland,D,GA
11194,,191,Clinton (D-NY),Hillary,S278,Clinton,D,NY
11195,,191,Cochran (R-MS),Thad,S136,Cochran,R,MS
11196,,191,Collins (R-ME),Susan,S252,Collins,R,ME
11197,,191,Conrad (D-ND),Kent,S201,Conrad,D,ND
11198,,191,Corzine (D-NJ),Jon,S279,Corzine,D,NJ
11199,,191,Craig (R-ID),Larry,S215,Craig,R,ID
11200,,191,Crapo (R-ID),Michael,S266,Crapo,R,ID
11201,,191,Daschle (D-SD),Thomas,S185,Daschle,D,SD
11202,,191,Dayton (D-MN),Mark,S280,Dayton,D,MN
11203,,191,DeWine (R-OH),Mike,S240,DeWine,R,OH
11204,,191,Dodd (D-CT),Christopher,S150,Dodd,D,CT
11205,,191,Domenici (R-NM),Pete,S027,Domenici,R,NM
11206,,191,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
11207,,191,Durbin (D-IL),Richard,S253,Durbin,D,IL
11208,,191,Edwards (D-NC),John,S267,Edwards,D,NC
11209,,191,Ensign (R-NV),John,S281,Ensign,R,NV
11210,,191,Enzi (R-WY),Michael,S254,Enzi,R,WY
11211,,191,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
11212,,191,Fitzgerald (R-IL),Peter,S268,Fitzgerald,R,IL
11213,,191,Frist (R-TN),Bill,S241,Frist,R,TN
11214,,191,Graham (D-FL),Bob,S199,Graham,D,FL
11215,,191,Gramm (R-TX),Phil,S171,Gramm,R,TX
11216,,191,Grassley (R-IA),Chuck,S153,Grassley,R,IA
11217,,191,Gregg (R-NH),Judd,S224,Gregg,R,NH
11218,,191,Hagel (R-NE),Chuck,S255,Hagel,R,NE
11219,,191,Harkin (D-IA),Tom,S172,Harkin,D,IA
