,bill_number,display_name,first_name,id,last_name,party,state
2422,35,Voinovich (R-OH),George,S271,Voinovich,R,OH
2423,35,Warner (R-VA),John,S143,Warner,R,VA
2424,36,Akaka (D-HI),Daniel,S213,Akaka,D,HI
2425,36,Alexander (R-TN),Lamar,S289,Alexander,R,TN
2426,36,Allard (R-CO),A.,S250,Allard,R,CO
2427,36,Allen (R-VA),George,S274,Allen,R,VA
2428,36,Baucus (D-MT),Max,S127,Baucus,D,MT
2429,36,Bennett (R-UT),Robert,S231,Bennett,R,UT
2430,36,Biden (D-DE),Joseph,S010,Biden,D,DE
2431,36,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
2432,36,Bond (R-MO),Christopher,S200,Bond,R,MO
2433,36,Boxer (D-CA),Barbara,S223,Boxer,D,CA
2434,36,Brownback (R-KS),Samuel,S249,Brownback,R,KS
2435,36,Bunning (R-KY),Jim,S265,Bunning,R,KY
2436,36,Burns (R-MT),Conrad,S211,Burns,R,MT
2437,36,Burr (R-NC),Richard,S300,Burr,R,NC
2438,36,Byrd (D-WV),Robert,S017,Byrd,D,WV
2439,36,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
2440,36,Carper (D-DE),Thomas,S277,Carper,D,DE
2441,36,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
2442,36,Clinton (D-NY),Hillary,S278,Clinton,D,NY
2443,36,Coburn (R-OK),Tom,S301,Coburn,R,OK
2444,36,Cochran (R-MS),Thad,S136,Cochran,R,MS
2445,36,Collins (R-ME),Susan,S252,Collins,R,ME
2446,36,Conrad (D-ND),Kent,S201,Conrad,D,ND
2447,36,Cornyn (R-TX),John,S287,Cornyn,R,TX
2448,36,Crapo (R-ID),Mike,S266,Crapo,R,ID
2449,36,DeMint (R-SC),James,S302,DeMint,R,SC
2450,36,DeWine (R-OH),Mike,S240,DeWine,R,OH
2451,36,Dodd (D-CT),Christopher,S150,Dodd,D,CT
2452,36,Dole (R-NC),Elizabeth,S292,Dole,R,NC
2453,36,Domenici (R-NM),Pete,S027,Domenici,R,NM
